Date,Close,Open,High,Low,Vol.,Change %
5/8/2020,90.46,90.11,90.64,89.59,5.49M,2.15%
5/7/2020,88.56,89.4,90.24,88.38,4.57M,0.14%
5/6/2020,88.44,88.05,88.69,87.43,7.34M,1.42%
5/5/2020,87.2,86.54,88.53,86.03,6.32M,1.69%
5/4/2020,85.75,84.68,85.8,84.31,6.35M,0.25%
5/1/2020,85.54,85.67,86.11,84.81,6.15M,-1.88%
4/30/2020,87.18,87,88,86.5,9.37M,-1.01%
4/29/2020,88.07,90,91.39,87.83,9.46M,-0.82%
4/28/2020,88.8,90.55,90.71,88.63,5.15M,-0.64%
4/27/2020,89.37,88.38,89.87,87.31,6.88M,1.13%
4/24/2020,88.37,88.89,89.12,87.64,4.45M,1.17%
4/23/2020,87.35,88.94,89.53,87.26,5.34M,-1.60%
4/22/2020,88.77,86.98,89.44,86.42,6.46M,4.19%
4/21/2020,85.2,85.99,86.9,85.09,6.60M,-3.07%
4/20/2020,87.9,88.43,89.44,87.52,7.24M,-2.24%
4/17/2020,89.91,89,90.25,88.36,8.11M,4.18%
4/16/2020,86.3,85.43,86.53,84.55,9.37M,1.48%
4/15/2020,85.04,84.87,85.88,83.71,8.05M,-2.78%
4/14/2020,87.47,85.95,87.77,85.48,6.40M,3.56%
4/13/2020,84.46,85.8,85.99,84.14,5.08M,-2.68%
4/9/2020,86.79,86.69,87.39,85.16,7.77M,1.75%
4/8/2020,85.3,84.7,85.77,83.61,6.64M,1.35%
4/7/2020,84.16,88.7,88.87,84.03,10.47M,-0.56%
4/6/2020,84.63,81.91,85.04,81.21,11.27M,7.32%
4/3/2020,78.86,79.36,79.79,77.91,8.48M,-1.60%
4/2/2020,80.14,79,81.6,77.16,12.73M,1.15%
4/1/2020,79.23,79.49,81.18,78.53,9.77M,-4.24%
3/31/2020,82.74,85.13,85.73,82.4,9.62M,-3.09%
3/30/2020,85.38,84,85.96,81.5,10.96M,2.58%
3/27/2020,83.23,81.7,85.74,79.51,14.18M,-1.27%
3/26/2020,84.3,80.17,86.86,80.01,17.20M,6.70%
