Date,Close,Open,High,Low,Vol.,Change %
12/3/2020,91.09,91.03,92.19,90.85,24.73M,-0.17%
12/2/2020,91.25,89.77,91.64,89.26,29.42M,1.65%
12/1/2020,89.77,88.33,91.09,88.15,37.36M,2.33%
11/30/2020,87.72,88.78,89.02,87.39,32.42M,-1.83%
11/27/2020,89.35,88.23,89.85,88.23,14.79M,1.30%
11/25/2020,88.21,88.39,88.52,87.42,19.60M,0.01%
11/24/2020,88.19,86.38,88.32,86.04,28.01M,2.10%
11/23/2020,86.38,87.01,87.3,85.51,22.55M,-0.51%
11/20/2020,86.82,88.1,88.42,86.75,27.71M,-1.26%
11/19/2020,87.93,86.66,88.17,86.5,20.11M,1.03%
11/18/2020,87.03,87.83,88.25,86.93,20.11M,-1.19%
11/17/2020,88.08,88.39,88.86,87.97,21.32M,-0.70%
11/16/2020,88.7,88.21,89.72,88.07,25.47M,0.10%
11/13/2020,88.61,87.4,88.86,86.8,29.76M,1.69%
11/12/2020,87.14,87.1,88.25,86.9,26.49M,-0.25%
11/11/2020,87.36,87.42,88.14,87.15,31.84M,0.55%
11/10/2020,86.89,86.49,87.97,85.81,43.02M,-1.35%
11/9/2020,88.07,89.8,90.84,87.88,53.44M,0.10%
11/6/2020,87.99,87.57,88.42,86.83,28.62M,-0.16%
11/5/2020,88.13,88.52,89.59,87.05,39.76M,0.95%
11/4/2020,87.29,85.28,88.5,85.15,71.34M,6.09%
11/3/2020,82.28,81.54,82.95,80.61,31.43M,1.31%
11/2/2020,81.22,81.18,82.91,80.71,44.23M,0.51%
10/30/2020,80.81,83.37,84.07,80.08,99.92M,3.80%
10/29/2020,77.84,75.85,79.44,75.83,55.41M,3.05%
10/28/2020,75.54,77.5,77.69,75.42,45.17M,-5.51%
10/27/2020,79.94,79.45,80.1,78.85,25.90M,0.92%
10/26/2020,79.21,80.75,81.48,78.39,35.83M,-2.98%
10/23/2020,81.65,80.75,81.71,80.6,30.55M,1.64%
10/22/2020,80.33,79.25,80.67,78.87,30.52M,1.30%
10/21/2020,79.3,78.49,80.76,78.36,60.32M,2.25%
10/20/2020,77.55,76.16,78.69,76.03,41.72M,1.38%
10/19/2020,76.5,78.8,79.2,76.15,29.73M,-2.41%
10/16/2020,78.39,78.09,78.89,77.88,34.21M,0.79%
10/15/2020,77.77,77.22,78.57,77.06,31.23M,-0.51%
10/14/2020,78.17,78.73,79.19,77.29,33.18M,-0.23%
10/13/2020,78.35,78.85,79.26,77.93,39.07M,0.16%
10/12/2020,78.23,76.9,79.42,76.46,55.34M,3.58%
10/9/2020,75.52,74.64,75.59,74.35,32.97M,1.82%
10/8/2020,74.17,73.27,74.4,73.27,26.08M,1.66%
10/7/2020,72.96,72.97,73.45,71.66,36.11M,0.56%
10/6/2020,72.55,73.78,74.23,72.25,26.10M,-2.15%
10/5/2020,74.14,73.13,74.24,73,21.60M,1.87%
10/2/2020,72.78,72.98,73.95,72.37,31.22M,-2.17%
10/1/2020,74.39,74.18,74.75,73.84,32.88M,1.52%
9/30/2020,73.28,73.05,74.31,72.79,40.92M,-0.03%
9/29/2020,73.3,73.2,73.6,72.7,31.82M,0.50%
9/28/2020,72.93,73.6,73.65,72.31,30.78M,1.36%
9/25/2020,71.95,71.25,72.3,70.38,30.33M,1.14%
9/24/2020,71.14,70.13,71.9,70.11,34.55M,0.96%
9/23/2020,70.47,72.6,72.65,70.13,37.73M,-3.45%
9/22/2020,72.99,72.52,73.2,71.47,33.95M,2.08%
9/21/2020,71.51,71.58,72,70.13,56.91M,-1.44%
9/18/2020,72.55,74.42,74.76,71.58,63.06M,-2.42%
9/17/2020,74.35,74.29,74.93,73.12,40.01M,-1.66%
9/16/2020,75.6,77.12,77.72,75.58,22.14M,-1.50%
9/15/2020,76.76,76.39,77.55,76.11,23.04M,1.74%
9/14/2020,75.44,76.58,77.85,75.26,42.66M,-0.46%
9/11/2020,75.79,76.41,76.93,74.65,30.71M,-0.67%
9/10/2020,76.3,77.51,78.68,76,33.02M,-1.37%
9/9/2020,77.36,77.44,77.94,76.26,39.24M,1.55%
9/8/2020,76.18,76.25,77.78,75.82,54.03M,-3.64%
9/4/2020,79.06,80.45,81.75,76.9,55.85M,-2.96%
9/3/2020,81.48,84.98,85,80.39,63.73M,-5.12%
9/2/2020,85.87,83.4,86.31,83.01,49.52M,3.76%
9/1/2020,82.75,81.61,82.96,81.48,22.68M,1.57%
8/31/2020,81.48,82.18,82.22,81.27,26.42M,-0.60%
8/28/2020,81.97,81.47,82.07,81.28,22.42M,0.67%
8/27/2020,81.43,82.33,82.4,80.94,31.35M,-0.95%
8/26/2020,82.21,80.32,82.64,80.05,52.19M,2.38%
8/25/2020,80.29,79,80.44,78.89,25.15M,1.31%
8/24/2020,79.26,79.62,80.44,78.75,25.64M,0.61%
8/21/2020,78.78,78.59,79.59,78.12,34.85M,-0.04%
8/20/2020,78.81,77,79.01,76.72,26.38M,2.05%
8/19/2020,77.23,77.62,78.44,77,30.47M,-0.72%
8/18/2020,77.79,76.31,77.87,76.08,28.38M,2.61%
8/17/2020,75.81,75.8,76.19,75.25,20.00M,0.77%
8/14/2020,75.23,75.68,75.99,74.95,21.94M,-0.79%
8/13/2020,75.83,75.41,76.85,75.41,22.39M,0.62%
8/12/2020,75.36,74.36,75.58,74.25,22.53M,1.80%
8/11/2020,74.03,74.7,75.52,73.91,31.10M,-1.09%
8/10/2020,74.84,74.54,75.36,73.87,20.55M,-0.10%
8/7/2020,74.92,75.45,76,74.31,27.73M,-0.44%
